event_id,t0_utc,t0_confidence,cell,category,sport_or_domain,description,tier1_source,source_url,affected_series,expectation_note,confirmatory_or_exploratory
donovan_mitchell_extension,2026-07-07T10:01:00Z,confirmed,unscheduled_sports,unscheduled_sports_extension,NBA,"Donovan Mitchell agrees 4yr/$273M max extension with Cavaliers (player option 2030-31 + trade kicker); Shams X post 6:01 AM ET, mirrored on ESPN contributor page; announced July 9",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/5b76a72293bf4,KXNBA,Extension killed months of Knicks trade speculation; first eligibility day,confirmatory
neemias_queta_extension,2026-07-03T13:53:00Z,approx,unscheduled_sports,unscheduled_sports_extension,NBA,Celtics pick up Queta option then add 4yr/$56M extension; Shams report ~9:53 AM ET,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49258502/celtics-picking-queta-option-adding-4-year-56m-extension,KXNBA,Role-player extension; likely small market move - null-case candidate,confirmatory
jordan_walsh_extension,2026-07-23T12:27:00Z,confirmed,unscheduled_sports,unscheduled_sports_extension,NBA,"Jordan Walsh agrees 3yr/$15M extension with Celtics; Shams X post 8:27 AM ET, mirrored on ESPN contributor page",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/e83de232af987,KXNBA,Young-player extension; likely small market move,confirmatory
brian_oneill_extension,2026-07-28T14:24:00Z,confirmed,unscheduled_sports,unscheduled_sports_extension,NFL,"Vikings RT Brian O'Neill signs 4yr/$96M extension; Schefter X post 10:24 AM ET, mirrored on ESPN contributor page",ESPN/Adam Schefter,https://www.espn.com/contributor/adam-schefter/c61ef3aa26095,KXSB,Extension of non-QB lineman; may not move SB futures - keep as null-case,confirmatory
aaron_donald_comeback,2026-08-30T17:00:00Z,confirmed,unscheduled_sports,unscheduled_sports_other,NFL,"Aaron Donald comes out of retirement: 1-year $20M deal with Rams; Schefter X post 1:00 PM ET, mirrored on ESPN contributor page. (Draft had wrongly placed this in July as unconfirmed - VERIFIED Aug 30)",ESPN/Adam Schefter,https://www.espn.com/contributor/adam-schefter/cd316d7a25148,KXSB,Comeback alongside Myles Garrett acquisition; genuine surprise,confirmatory
nba_schedule_release,2026-08-13T19:08:00Z,confirmed,scheduled_sports,scheduled_sports,NBA,NBA releases 2026-27 schedule Thursday Aug 13 (CORRECTED from Aug 14 in draft); T-7 snapshot = 2026-08-06,NBA.com (official),https://www.espn.com/nba/story/_/id/49471934/nba-full-schedule-2026-2027-games-watch-faq-rivalries-matchups,KXNBA,Scheduled league event; expectation documented at T-7 per prereg,confirmatory
nfl_kickoff,2026-09-10T00:20:00Z,confirmed,scheduled_sports,scheduled_sports,NFL,"2026 NFL season kickoff: Patriots at Seahawks (Super Bowl LX rematch), Lumen Field Seattle, Wednesday Sept 9 8:20 PM ET on NBC/Peacock; T-7 snapshot = 2026-09-02",NFL.com (official),https://www.nbc.com/nbc-insider/how-to-watch-patriots-vs-seahawks-2026,KXSB,CORRECTED from Sept 10 in draft; T-7 expectations from odds + KXSB,confirmatory
nba_opening_night,2026-10-20,approx,scheduled_sports,scheduled_sports,NBA,"NBA 2026-27 opening night Tuesday Oct 20 (confirmed): tripleheader NBC/Peacock - Celtics at Pistons 3pm ET, 76ers at Knicks 7pm ET, Thunder at Spurs 9:30pm ET; T-7 snapshot = 2026-10-13",NBA.com (official),https://www.espn.com/nba/story/_/id/49471934/nba-full-schedule-2026-2027-games-watch-faq-rivalries-matchups,KXNBA,Future event; expectations at T-7 per prereg,confirmatory
nfl_trade_deadline,2026-11-10T21:00:00Z,confirmed,scheduled_sports,scheduled_sports,NFL,NFL trade deadline Tuesday Nov 10 4pm ET (confirmed); T-7 snapshot = 2026-11-03,NFL.com (official),N/A,KXSB,Future event; per prereg T-7 rule,confirmatory
hormuz_retaliation_threat,2026-09-07T13:53:00Z,confirmed,unscheduled_macro,unscheduled_macro,macro,"Iran threatened to retaliate for any new U.S. attacks, warning Gulf energy infrastructure was vulnerable; Hormuz commodity-vessel traffic slowed (Thomson Reuters wire, bylined Sept 7, 2026, 9:53 PM Singapore).",Reuters,https://wncy.com/2026/09/07/hormuz-traffic-slows-after-iran-threatens-retaliation-for-us-attacks/,"KXCPI,KXCPICORE,KXFED","Surprise vs expectations: see expectations.md. Next scheduled data point: August CPI (released Sept 11): headline m/m consensus +0.4%, core m/m +0.2%.",confirmatory
canada_proclamations,2026-09-08,confirmed,unscheduled_macro,unscheduled_macro,macro,"Trump issued five presidential proclamations (11061-11065) under Section 338 of the Tariff Act of 1930: outright import bans on certain Canadian goods (effective Sept 29) plus added 50% duties; GSA directed to remove ~$50B of Canadian-origin products from Multiple Award Schedules (White House, Sept 8, 2026).",White House / Federal Register,https://www.federalregister.gov/documents/2026/09/14/2026-18835/excluding-certain-canadian-products-from-importation-into-the-united-states-in-response-to-continued,"KXCPI,KXCPICORE","Surprise vs expectations: see expectations.md. Next scheduled data point: August CPI (released Sept 11): headline m/m consensus +0.4%, core m/m +0.2%.",confirmatory
perim_island_seized,2026-09-11,confirmed,unscheduled_macro,unscheduled_macro,macro,"Yemen's Houthi movement seized Perim Island (Mayyun) in the Bab el-Mandeb Strait after Saudi-backed Yemeni government forces withdrew Sept 10, completing effective control of the strait's Yemeni side (Reuters, AFP, AP, Sept 11, 2026).",Reuters / AFP / AP,https://en.sedaily.com/international/2026/09/12/houthis-complete-control-of-red-sea-chokepoint-as-iran-gulf,"KXCPI,KXCPICORE,KXFED","Surprise vs expectations: see expectations.md. Same-day scheduled data point: August CPI (released Sept 11, 8:30 AM ET): headline m/m consensus +0.4% (matched), core m/m +0.2% -> actual +0.3% (hot).",confirmatory
hormuz_strike_pipeline_shutdown,2026-09-10,confirmed,unscheduled_macro,unscheduled_macro,macro,"Drone strikes hit pump stations of Saudi Arabia's East-West (Petroline) crude pipeline (Riyadh and Medina regions); Saudi Arabia shut the 1,200 km line on Sept 11 as a precautionary measure and blamed drones launched by Iranian-backed militias in Iraq; Brent traded above $105/bbl (Saudi Energy Ministry, Sept 10, 2026). Working collector date 09-13 was ~2-3 days late.",Saudi Energy Ministry / AP,https://en.wikipedia.org/wiki/2026_East%E2%80%93West_Crude_Oil_Pipeline_attack,"KXCPI,KXCPICORE,KXFED","Surprise vs expectations: see expectations.md. Next scheduled data point: August CPI (released Sept 11): headline m/m consensus +0.4%, core m/m +0.2%.",confirmatory
tariff_eu_threat,2026-09-16,confirmed,unscheduled_macro,unscheduled_macro,macro,"Asked about European Commission President von der Leyen's proposal to make Canada the EU's first-ever ""associate member,"" Trump called it ""laughable"" and threatened ""very heavy tariffs on Europe"" if done with ""bad intention""; no actual tariff was announced (Reuters, Sept 16, 2026).",Reuters,https://www.tbsnews.net/worldbiz/usa/trump-derides-eu-pitch-canada-laughable-threatens-more-tariffs-1545296,"KXFED,KXCPI,KXCPICORE","Conditional threat, not an enacted measure. Surprise vs expectations: see expectations.md.",confirmatory
russia_sanctions_bill,2026-09-16,confirmed,unscheduled_macro,unscheduled_macro,macro,"The House passed H.R. 5334, the Lindsey O. Graham Sanctioning Russia and Iran Act of 2026, 262-159: tariffs of up to 100% on the largest purchasers of Russian crude/gas, sanctions on Russian banks/oligarchs and the shadow fleet, US persons barred from Russian sovereign debt; signed into law Sept 18 (House passage, Sept 16, 2026; Senate had passed 86-11 on Aug 7).",Le Monde / Congress,https://www.lemonde.fr/en/international/article/2026/09/19/trump-signs-graham-bill-imposing-new-sanctions-against-russia_6757703_4.html,"KXFED,KXCPI,KXCPICORE",Surprise vs expectations: see expectations.md.,confirmatory
trump_truth_fed,2026-09-16,confirmed,unscheduled_macro,unscheduled_macro,macro,"Hours after the 2:00 PM ET FOMC decision, Trump demanded rates of ""1%, or less"" in a Truth Social post and called the Fed board ""very hostile"" and ""very political"" (CNBC/Reuters, Sept 16, 2026).",CNBC / Reuters,https://economy.ac/news/2026/09/202609295655,KXFED,Posted after the Sept 16 FOMC decision; surprise vs expectations: see expectations.md.,confirmatory
nvda_earnings,2026-08-26,confirmed,unscheduled_macro,unscheduled_macro,macro,"NVIDIA reported Q2 FY2027 results after the US market close: revenue $96.22B vs $92.17B consensus (+4.4%); non-GAAP EPS $2.22 vs $2.10 (+~6%); data center revenue $89.0B vs $86.33B est.; guided Q3 FY2027 revenue $108B +/-2% vs ~$104.2B est. (Aug 26, 2026). Classified unscheduled_macro: date not on the scheduled macro calendar; surprise measured vs analyst consensus.",NVIDIA / CNBC / Zacks,https://www.zacks.com/stock/news/2980648/nvidia-nvda-surpasses-q2-earnings-and-revenue-estimates,"KXFED,KXCPI","Revenue consensus $92.17B (LSEG via CNBC) -> actual $96.22B; non-GAAP EPS consensus $2.10 -> actual $2.22. Next scheduled data point: August CPI (released Sept 11): headline m/m +0.4%, core m/m +0.2%.",confirmatory
fomc_sep_hike,2026-09-16T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"The FOMC voted 12-0 to raise the federal funds target range 25 bp to 3.75%-4.00%, the first US rate hike since July 2023; statement cited ""inflation remains elevated""; markets had priced >90% odds of the hike in advance (announced ~2:00 PM ET, Sept 16, 2026).",FOMC statement / Bloomberg,https://www.livemint.com/market/stock-market-news/us-fed-meeting-2026-live-updates-interest-rate-decision-today-us-economy-fed-interest-rate-kevin-warsh-16-september-11789571646644.html,KXFED,"Direction fully anticipated (>90% priced, Bloomberg via swaps data); unanimity (12-0) the modest surprise. Prior target range 3.50%-3.75% (in place since Dec 2025 cut).",confirmatory
cpi_aug_release,2026-09-11T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for August 2026 (8:30 AM ET). Headline m/m +0.4% (= Dow Jones consensus); core m/m +0.3% vs +0.2% expected (+0.1pp hot).,BLS / Dow Jones survey via CNBC,https://www.bls.gov/news.release/archives/cpi_09112026.htm,KXCPI,Headline in line; core 0.1pp hot — the market-relevant surprise. Batch B (prereg-mandated).,confirmatory
fomc_2026_01_supp,2026-01-28T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"FOMC decision: held target range at 3.50%-3.75% (10-2 vote), as expected. Statement 2:00 PM ET Jan 28.",Federal Reserve / financecalendar,https://www.financecalendar.com/fomc-meetings/,KXFED,Hold fully expected; no decision surprise. D20 supplementary (pre-window).,exploratory
fomc_2026_03_supp,2026-03-18T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"FOMC decision: held at 3.50%-3.75% (11-1 vote; Gov. Miran dissented for a 25bp cut), as expected. Statement 2:00 PM ET Mar 18; SEP/dot plot released.",Federal Reserve / financecalendar,https://www.financecalendar.com/fomc-meetings/,KXFED,Hold fully expected; lone dissent for a cut. D20 supplementary (pre-window).,exploratory
fomc_2026_04_supp,2026-04-29T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"FOMC decision: held at 3.50%-3.75% (8-4 vote, four dissents), as expected. Statement 2:00 PM ET Apr 29.",Federal Reserve / financecalendar,https://www.financecalendar.com/fomc-meetings/,KXFED,Hold fully expected; unusually split vote. D20 supplementary (pre-window).,exploratory
fomc_2026_06_supp,2026-06-17T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"FOMC decision: held at 3.50%-3.75% (10-2 vote); 'hawkish hold', easing bias removed. Statement 2:00 PM ET Jun 17; SEP/dot plot released.",Federal Reserve / financecalendar,https://www.financecalendar.com/fomc-meetings/,KXFED,Hold expected; hawkish tilt the news. D20 supplementary (pre-window).,exploratory
fomc_2026_07_supp,2026-07-29T18:00:00Z,confirmed,scheduled_macro,scheduled_macro,macro,FOMC decision: held at 3.50%-3.75% (9-3 vote; three dissenters favored a hike; September hike ~61% priced). Statement 2:00 PM ET Jul 29.,Federal Reserve / financecalendar,https://www.financecalendar.com/fomc-meetings/,KXFED,Hold expected; three hawkish dissents raised Sep-hike odds. D20 supplementary (pre-window).,exploratory
cpi_2026_01_supp,2026-01-13T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for December 2025 (8:30 AM ET).,BLS,https://www.bls.gov/schedule/news_release/cpi.htm,KXCPI,Consensus unverified (2026-09-24 research pass) — surprise not recorded. D20 supplementary (pre-window).,exploratory
cpi_2026_02_supp,2026-02-13T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for January 2026 (8:30 AM ET; delayed 2 days by brief government shutdown). Headline m/m +0.2% vs +0.3% consensus (-0.1pp); core m/m +0.3% = consensus; y/y 2.4% vs 2.5% expected.,BLS / First Trust (Wesbury/Stein),https://www.ftportfolios.com/Commentary/EconomicResearch/2026/2/13/the-consumer-price-index-cpi-rose-0.2percent-in-january,KXCPI,Headline 0.1pp soft surprise; core in line. D20 supplementary (pre-window).,exploratory
cpi_2026_03_supp,2026-03-11T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for February 2026 (8:30 AM ET). Headline m/m +0.3% = FactSet consensus; core m/m +0.2% = consensus; y/y 2.4%.,BLS / First Trust (Wesbury/Stein),https://www.ftportfolios.com/Commentary/EconomicResearch/2026/3/11/the-consumer-price-index-cpi-rose-0.3percent-in-february,KXCPI,No surprise vs consensus. D20 supplementary (pre-window).,exploratory
cpi_2026_04_supp,2026-04-10T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for March 2026 (8:30 AM ET). Headline m/m +0.9%; core m/m data vs consensus unverified.,BLS,https://www.zacks.com/stock/news/2935244/may-headline-cpi-data-highest-since-april-2023,KXCPI,Headline consensus unverified (2026-09-24 research pass) — surprise not recorded. D20 supplementary (pre-window).,exploratory
cpi_2026_05_supp,2026-05-12T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for April 2026 (8:30 AM ET). Headline m/m +0.6%; core m/m +0.4% vs +0.3% expected (+0.1pp hot).,BLS / tradingeconomics,https://tradingeconomics.com/united-states/core-inflation-rate-mom/news/558054,KXCPI,Core 0.1pp hot; headline consensus unverified. D20 supplementary (pre-window).,exploratory
cpi_2026_06_supp,2026-06-10T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"BLS CPI release for May 2026 (8:30 AM ET). Headline m/m +0.5% = consensus; core m/m +0.2% vs +0.3% expected (-0.1pp); y/y 4.2% = consensus (3-yr high, energy shock).",BLS / First Trust (Wesbury/Stein),https://www.ftportfolios.com/Commentary/EconomicResearch/2026/6/10/the-consumer-price-index-cpi-rose-0.5percent-in-may,KXCPI,Headline in line; core 0.1pp soft. D20 supplementary (pre-window).,exploratory
cpi_2026_07_supp,2026-07-14T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,"BLS CPI release for June 2026 (8:30 AM ET). Headline m/m -0.4% vs -0.1% consensus (-0.3pp, biggest drop since Apr 2020 on energy); core m/m 0.0% vs +0.2% expected (-0.2pp); y/y 3.5% vs 3.8% expected.",BLS / First Trust (Wesbury/Stein),https://www.ftportfolios.com/Commentary/EconomicResearch/2026/7/14/the-consumer-price-index-cpi-declined-0.4percent-in-june?utm_source=follow.it,KXCPI,"Large downside surprise (-0.3pp headline, -0.2pp core) on US-Iran ceasefire energy reversal. D20 supplementary (pre-window).",exploratory
cpi_2026_08_supp,2026-08-12T12:30:00Z,confirmed,scheduled_macro,scheduled_macro,macro,BLS CPI release for July 2026 (8:30 AM ET). Headline m/m +0.1% = consensus; core m/m +0.2% = consensus; y/y 3.4% = consensus.,BLS / Dow Jones via wichitaliberty,https://www.wichitaliberty.org/economics/july-2026-cpi-report-inflation-3-4-percent/,KXCPI,No surprise vs consensus (matches extended_macro_consensus.csv Aug-12 rows). D20 supplementary (pre-window).,exploratory
nba_draft_lottery_2026,2026-05-10T19:00:00Z,verified,scheduled_sports,draft_lottery,NBA,"2026 NBA Draft Lottery, Sun May 10 3pm ET (ABC). Wizards won #1.",USA Today,https://www.usatoday.com/story/sports/nba/2026/05/09/nba-draft-lottery-date-time-tv-format/90009026007/,KXNBA-26,"CONFOUNDED: concurrent playoff games; KXNBA-27 did not exist yet (8/30 pairs usable, KXNBA-26 stragglers only). Original pull used 2026-05-11 approx (search was down); corrected D21.",exploratory
nba_draft_2026,2026-06-23T16:00:00Z,verified,scheduled_sports,draft,NBA,"2026 NBA Draft round 1, Tue Jun 23 8pm ET, Barclays Center. Dybantsa #1 to Wizards.",NBC Sports,https://www.nbcsports.com/nba/news/2026-nba-draft-order-full-list-dates-start-times-and-how-to-watch,KXNBA-27,thin_d16: KXNBA-27 listed 2026-06-15 (~8 pre-T0 days). Original pull used 2026-06-24 (round 2); corrected D21 to round 1 (the news night).,exploratory
mlb_allstar_2026,2026-07-14T16:00:00Z,verified,scheduled_sports,all_star_game,MLB,"2026 MLB All-Star Game, Tue Jul 14 8pm ET, Citizens Bank Park. AL won 4-0.",NBC Sports,https://www.nbcsportsboston.com/mlb/all-star-game-2026-lineups-rosters-date-time-channel-stream/795230/,KXMLB-26,"30/30 usable, abn ~0. Original pull used 2026-07-14 approx; verified D21.",exploratory
